회사명,종목코드,영업이익(억),부채비율(%),시가총액(원)
미원상사,002840,17.58,21.58,776600000000
미원화학,134380,8.07,11.42,185400000000
보령,003850,7.44,72.8,733500000000
삼성SDI,006400,8.98,75.74,18051200000000
삼성전기,009150,12.55,42.94,12145200000000
서울보증보험,031210,28.35,75.03,2981400000000
서흥,008490,9.76,97.23,275300000000
신세계인터내셔날,031430,7.42,53.38,376400000000
아세아,002030,11.22,70.66,714900000000
유니퀘스트,077500,6.48,75.58,129200000000
종근당,185750,7.38,81.06,1145600000000
카카오,035720,8.38,69.9,28472800000000
케이티스카이라이프,053210,6.23,58.75,247600000000
쿠쿠홀딩스,192400,11.63,18.78,1090000000000
태경케미컬,006890,17.45,13.61,116100000000
포스코퓨처엠,003670,5.02,74.96,14516000000000
하나제약,293480,14.78,28.9,211500000000
ISC,095340,31.24,33.73,1365100000000
LB인베스트먼트,309960,25.73,9.28,118200000000
고스트스튜디오,950190,29.9,7.57,132400000000
골프존홀딩스,121440,19.32,47.21,227900000000
나노신소재,121600,21.05,7.47,717200000000
나무가,190510,6.23,75.97,245800000000
네패스아크,330860,14.64,78.59,185900000000
넥스틴,348210,49.16,21.63,496600000000
동원개발,013120,14.43,41.01,287900000000
디앤씨미디어,263720,9.57,22.95,217900000000
레뷰코퍼레이션,443250,11.29,53.24,134900000000
리노공업,058470,42.38,7.77,3570500000000
리파인,377450,32.57,9.18,282000000000
멀티캠퍼스,067280,11.48,69.26,192300000000
미투온,201490,24.13,16.35,158000000000
바이넥스,053030,10.96,55.19,541200000000
브이엠,089970,21.88,32.84,276600000000
비츠로테크,042370,9.41,54.06,216900000000
삼목에스폼,018310,20.17,45.96,298400000000
스튜디오드래곤,253450,9.34,65.07,1381200000000
쏠리드,050890,10.22,89.77,389200000000
아주IB투자,027360,7.64,53.34,269500000000
에스엠,041510,10.7,65.1,3402200000000
에스티아이,039440,8.23,49.98,297800000000
에코아이,448280,33.32,59.2,407700000000
엠투아이,347890,27.98,8.57,100800000000
와이즈넛,096250,8.92,14.3,177100000000
우리기술,032820,9.7,69.7,604200000000
우주일렉트로,065680,11.02,29.87,389000000000
원익홀딩스,030530,11.92,37.42,478900000000
위메이드맥스,101730,29.32,54.08,621800000000
인터플렉스,051370,5.89,45.03,212500000000
일진파워,094820,9.13,51.93,154900000000
제이브이엠,054950,15.49,46.54,336700000000
제이아이테크,417500,16.69,37.09,106400000000
제주반도체,080220,16.63,23.33,496300000000
지니언스,263860,18.0,24.62,170400000000
지앤비에스 에코,382800,22.43,22.88,111400000000
케이에스피,073010,5.47,77.48,191500000000
큐알티,405100,17.25,43.4,158700000000
크리스에프앤씨,110790,20.61,90.29,113400000000
퓨릿,445180,10.4,67.06,110900000000
